PC  Teal                                                               Stack
1
10
13  byte ""                                                            0x
14  callsub test_self_ref_phi                                          0x
131 proto 0 1                                                          0x
135 frame_dig 0                                                        0x, 12, 12
137 int 100                                                            0x, 12, 12, 100
138 <                                                                  0x, 12, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 12
142 frame_dig 0                                                        0x, 12, 12
144 int 105                                                            0x, 12, 12, 105
146 %                                                                  0x, 12, 12
147 int 0                                                              0x, 12, 12, 0
148 ==                                                                 0x, 12, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 12
155 frame_dig 0                                                        0x, 12, 12
157 int 21                                                             0x, 12, 12, 21
159 %                                                                  0x, 12, 12
160 bnz test_self_ref_phi_after_if_else@6                              0x, 12
166 frame_dig 0                                                        0x, 12, 12
168 int 1                                                              0x, 12, 12, 1
169 +                                                                  0x, 12, 13
170 frame_bury 0                                                       0x, 13
172 b test_self_ref_phi_while_top@1                                    0x, 13
135 frame_dig 0                                                        0x, 13, 13
137 int 100                                                            0x, 13, 13, 100
138 <                                                                  0x, 13, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 13
142 frame_dig 0                                                        0x, 13, 13
144 int 105                                                            0x, 13, 13, 105
146 %                                                                  0x, 13, 13
147 int 0                                                              0x, 13, 13, 0
148 ==                                                                 0x, 13, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 13
155 frame_dig 0                                                        0x, 13, 13
157 int 21                                                             0x, 13, 13, 21
159 %                                                                  0x, 13, 13
160 bnz test_self_ref_phi_after_if_else@6                              0x, 13
166 frame_dig 0                                                        0x, 13, 13
168 int 1                                                              0x, 13, 13, 1
169 +                                                                  0x, 13, 14
170 frame_bury 0                                                       0x, 14
172 b test_self_ref_phi_while_top@1                                    0x, 14
135 frame_dig 0                                                        0x, 14, 14
137 int 100                                                            0x, 14, 14, 100
138 <                                                                  0x, 14, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 14
142 frame_dig 0                                                        0x, 14, 14
144 int 105                                                            0x, 14, 14, 105
146 %                                                                  0x, 14, 14
147 int 0                                                              0x, 14, 14, 0
148 ==                                                                 0x, 14, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 14
155 frame_dig 0                                                        0x, 14, 14
157 int 21                                                             0x, 14, 14, 21
159 %                                                                  0x, 14, 14
160 bnz test_self_ref_phi_after_if_else@6                              0x, 14
166 frame_dig 0                                                        0x, 14, 14
168 int 1                                                              0x, 14, 14, 1
169 +                                                                  0x, 14, 15
170 frame_bury 0                                                       0x, 15
172 b test_self_ref_phi_while_top@1                                    0x, 15
135 frame_dig 0                                                        0x, 15, 15
137 int 100                                                            0x, 15, 15, 100
138 <                                                                  0x, 15, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 15
142 frame_dig 0                                                        0x, 15, 15
144 int 105                                                            0x, 15, 15, 105
146 %                                                                  0x, 15, 15
147 int 0                                                              0x, 15, 15, 0
148 ==                                                                 0x, 15, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 15
155 frame_dig 0                                                        0x, 15, 15
157 int 21                                                             0x, 15, 15, 21
159 %                                                                  0x, 15, 15
160 bnz test_self_ref_phi_after_if_else@6                              0x, 15
166 frame_dig 0                                                        0x, 15, 15
168 int 1                                                              0x, 15, 15, 1
169 +                                                                  0x, 15, 16
170 frame_bury 0                                                       0x, 16
172 b test_self_ref_phi_while_top@1                                    0x, 16
135 frame_dig 0                                                        0x, 16, 16
137 int 100                                                            0x, 16, 16, 100
138 <                                                                  0x, 16, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 16
142 frame_dig 0                                                        0x, 16, 16
144 int 105                                                            0x, 16, 16, 105
146 %                                                                  0x, 16, 16
147 int 0                                                              0x, 16, 16, 0
148 ==                                                                 0x, 16, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 16
155 frame_dig 0                                                        0x, 16, 16
157 int 21                                                             0x, 16, 16, 21
159 %                                                                  0x, 16, 16
160 bnz test_self_ref_phi_after_if_else@6                              0x, 16
166 frame_dig 0                                                        0x, 16, 16
