PC  Teal                                                            Stack
1
10  byte ""                                                         0x
12  callsub test_self_ref_phi                                       0x
129 proto 0 1                                                       0x
140 frame_dig 0                                                     0x, 12, 12
142 int 105                                                         0x, 12, 12, 105
144 %                                                               0x, 12, 12
145 !                                                               0x, 12, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 12
152 frame_dig 0                                                     0x, 12, 12
154 int 21                                                          0x, 12, 12, 21
156 %                                                               0x, 12, 12
157 bz test_self_ref_phi_after_while@7                              0x, 12
160 frame_dig 0                                                     0x, 12, 12
162 int 1                                                           0x, 12, 12, 1
163 +                                                               0x, 12, 13
164 frame_bury 0                                                    0x, 13
166 b test_self_ref_phi_while_top@1                                 0x, 13
133 frame_dig 0                                                     0x, 13, 13
135 int 100                                                         0x, 13, 13, 100
136 <                                                               0x, 13, 1
137 bz test_self_ref_phi_after_while@7                              0x, 13
140 frame_dig 0                                                     0x, 13, 13
142 int 105                                                         0x, 13, 13, 105
144 %                                                               0x, 13, 13
145 !                                                               0x, 13, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 13
152 frame_dig 0                                                     0x, 13, 13
154 int 21                                                          0x, 13, 13, 21
156 %                                                               0x, 13, 13
157 bz test_self_ref_phi_after_while@7                              0x, 13
160 frame_dig 0                                                     0x, 13, 13
162 int 1                                                           0x, 13, 13, 1
163 +                                                               0x, 13, 14
164 frame_bury 0                                                    0x, 14
166 b test_self_ref_phi_while_top@1                                 0x, 14
133 frame_dig 0                                                     0x, 14, 14
135 int 100                                                         0x, 14, 14, 100
136 <                                                               0x, 14, 1
137 bz test_self_ref_phi_after_while@7                              0x, 14
140 frame_dig 0                                                     0x, 14, 14
142 int 105                                                         0x, 14, 14, 105
144 %                                                               0x, 14, 14
145 !                                                               0x, 14, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 14
152 frame_dig 0                                                     0x, 14, 14
154 int 21                                                          0x, 14, 14, 21
156 %                                                               0x, 14, 14
157 bz test_self_ref_phi_after_while@7                              0x, 14
160 frame_dig 0                                                     0x, 14, 14
162 int 1                                                           0x, 14, 14, 1
163 +                                                               0x, 14, 15
164 frame_bury 0                                                    0x, 15
166 b test_self_ref_phi_while_top@1                                 0x, 15
133 frame_dig 0                                                     0x, 15, 15
135 int 100                                                         0x, 15, 15, 100
136 <                                                               0x, 15, 1
137 bz test_self_ref_phi_after_while@7                              0x, 15
140 frame_dig 0                                                     0x, 15, 15
142 int 105                                                         0x, 15, 15, 105
144 %                                                               0x, 15, 15
145 !                                                               0x, 15, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 15
152 frame_dig 0                                                     0x, 15, 15
154 int 21                                                          0x, 15, 15, 21
156 %                                                               0x, 15, 15
157 bz test_self_ref_phi_after_while@7                              0x, 15
160 frame_dig 0                                                     0x, 15, 15
162 int 1                                                           0x, 15, 15, 1
163 +                                                               0x, 15, 16
164 frame_bury 0                                                    0x, 16
166 b test_self_ref_phi_while_top@1                                 0x, 16
133 frame_dig 0                                                     0x, 16, 16
135 int 100                                                         0x, 16, 16, 100
136 <                                                               0x, 16, 1
137 bz test_self_ref_phi_after_while@7                              0x, 16
140 frame_dig 0                                                     0x, 16, 16
142 int 105                                                         0x, 16, 16, 105
144 %                                                               0x, 16, 16
145 !                                                               0x, 16, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 16
152 frame_dig 0                                                     0x, 16, 16
154 int 21                                                          0x, 16, 16, 21
156 %                                                               0x, 16, 16
157 bz test_self_ref_phi_after_while@7                              0x, 16
160 frame_dig 0                                                     0x, 16, 16
162 int 1                                                           0x, 16, 16, 1
163 +                                                               0x, 16, 17
164 frame_bury 0                                                    0x, 17
166 b test_self_ref_phi_while_top@1                                 0x, 17
133 frame_dig 0                                                     0x, 17, 17
135 int 100                                                         0x, 17, 17, 100
136 <                                                               0x, 17, 1
137 bz test_self_ref_phi_after_while@7                              0x, 17
140 frame_dig 0                                                     0x, 17, 17
142 int 105                                                         0x, 17, 17, 105
144 %                                                               0x, 17, 17
145 !                                                               0x, 17, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 17
152 frame_dig 0                                                     0x, 17, 17
154 int 21                                                          0x, 17, 17, 21
156 %                                                               0x, 17, 17
157 bz test_self_ref_phi_after_while@7                              0x, 17
160 frame_dig 0                                                     0x, 17, 17
162 int 1                                                           0x, 17, 17, 1
163 +                                                               0x, 17, 18
164 frame_bury 0                                                    0x, 18
166 b test_self_ref_phi_while_top@1                                 0x, 18
133 frame_dig 0                                                     0x, 18, 18
135 int 100                                                         0x, 18, 18, 100
136 <                                                               0x, 18, 1
137 bz test_self_ref_phi_after_while@7                              0x, 18
140 frame_dig 0                                                     0x, 18, 18
142 int 105                                                         0x, 18, 18, 105
144 %                                                               0x, 18, 18
145 !                                                               0x, 18, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 18
152 frame_dig 0                                                     0x, 18, 18
154 int 21                                                          0x, 18, 18, 21
156 %                                                               0x, 18, 18
157 bz test_self_ref_phi_after_while@7                              0x, 18
160 frame_dig 0                                                     0x, 18, 18
162 int 1                                                           0x, 18, 18, 1
163 +                                                               0x, 18, 19
164 frame_bury 0                                                    0x, 19
166 b test_self_ref_phi_while_top@1                                 0x, 19
133 frame_dig 0                                                     0x, 19, 19
135 int 100                                                         0x, 19, 19, 100
136 <                                                               0x, 19, 1
137 bz test_self_ref_phi_after_while@7                              0x, 19
140 frame_dig 0                                                     0x, 19, 19
142 int 105                                                         0x, 19, 19, 105
144 %                                                               0x, 19, 19
145 !                                                               0x, 19, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 19
152 frame_dig 0                                                     0x, 19, 19
154 int 21                                                          0x, 19, 19, 21
156 %                                                               0x, 19, 19
157 bz test_self_ref_phi_after_while@7                              0x, 19
160 frame_dig 0                                                     0x, 19, 19
162 int 1                                                           0x, 19, 19, 1
163 +                                                               0x, 19, 20
164 frame_bury 0                                                    0x, 20
166 b test_self_ref_phi_while_top@1                                 0x, 20
133 frame_dig 0                                                     0x, 20, 20
135 int 100                                                         0x, 20, 20, 100
136 <                                                               0x, 20, 1
137 bz test_self_ref_phi_after_while@7                              0x, 20
140 frame_dig 0                                                     0x, 20, 20
142 int 105                                                         0x, 20, 20, 105
144 %                                                               0x, 20, 20
145 !                                                               0x, 20, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 20
152 frame_dig 0                                                     0x, 20, 20
154 int 21                                                          0x, 20, 20, 21
156 %                                                               0x, 20, 20
157 bz test_self_ref_phi_after_while@7                              0x, 20
160 frame_dig 0                                                     0x, 20, 20
162 int 1                                                           0x, 20, 20, 1
163 +                                                               0x, 20, 21
164 frame_bury 0                                                    0x, 21
166 b test_self_ref_phi_while_top@1                                 0x, 21
133 frame_dig 0                                                     0x, 21, 21
135 int 100                                                         0x, 21, 21, 100
136 <                                                               0x, 21, 1
137 bz test_self_ref_phi_after_while@7                              0x, 21
140 frame_dig 0                                                     0x, 21, 21
142 int 105                                                         0x, 21, 21, 105
144 %                                                               0x, 21, 21
145 !                                                               0x, 21, 0
146 bz test_self_ref_phi_after_if_else@4                            0x, 21
152 frame_dig 0                                                     0x, 21, 21
154 int 21                                                          0x, 21, 21, 21
156 %                                                               0x, 21, 0
157 bz test_self_ref_phi_after_while@7                              0x, 21
169 frame_dig 0                                                     0x, 21, 21
171 swap                                                            0x, 21, 21
172 retsub                                                          0x, 21
15  pop                                                             0x
16  int 1                                                           0x, 1
17  callsub test_swap                                               0x, 1
173 proto 1 1                                                       0x, 1
176 int 1                                                           0x, 1, 1
