PC  Teal                                                            Stack
1   #pragma version 8
141 int 100                                                         20, 20, 100
142 <                                                               20, 1
143 bz test_self_ref_phi_after_while@7                              20
146 frame_dig 0                                                     20, 20
148 int 105                                                         20, 20, 105
150 %                                                               20, 20
151 !                                                               20, 0
152 bz test_self_ref_phi_after_if_else@4                            20
158 frame_dig 0                                                     20, 20
160 int 21                                                          20, 20, 21
162 %                                                               20, 20
163 bz test_self_ref_phi_after_while@7                              20
166 frame_dig 0                                                     20, 20
168 int 1                                                           20, 20, 1
169 +                                                               20, 21
170 frame_bury 0                                                    21
172 b test_self_ref_phi_while_top@1                                 21
139 frame_dig 0                                                     21, 21
141 int 100                                                         21, 21, 100
142 <                                                               21, 1
143 bz test_self_ref_phi_after_while@7                              21
146 frame_dig 0                                                     21, 21
148 int 105                                                         21, 21, 105
150 %                                                               21, 21
151 !                                                               21, 0
152 bz test_self_ref_phi_after_if_else@4                            21
158 frame_dig 0                                                     21, 21
160 int 21                                                          21, 21, 21
162 %                                                               21, 0
163 bz test_self_ref_phi_after_while@7                              21
175 frame_dig 0                                                     21, 21
177 swap                                                            21, 21
178 retsub                                                          21
13  pop
14  int 1                                                           1
15  callsub test_swap                                               1
179 proto 1 1                                                       1
182 int 1                                                           1, 1
183 int 2                                                           1, 1, 2
184 frame_dig -1                                                    1, 1, 2, 1
186 frame_dig 0                                                     1, 1, 2, 1, 1
188 frame_dig 1                                                     1, 1, 2, 1, 1, 2
190 frame_bury 0                                                    1, 2, 2, 1, 1
192 frame_dig 2                                                     1, 2, 2, 1, 1, 1
194 int 0                                                           1, 2, 2, 1, 1, 1, 0
195 >                                                               1, 2, 2, 1, 1, 1
196 bz test_swap_after_while@3                                      1, 2, 2, 1, 1
199 frame_dig 2                                                     1, 2, 2, 1, 1, 1
201 int 1                                                           1, 2, 2, 1, 1, 1, 1
202 -                                                               1, 2, 2, 1, 1, 0
203 frame_bury 2                                                    1, 2, 2, 0, 1
205 frame_bury 1                                                    1, 2, 1, 0
207 b test_swap_while_top@1                                         1, 2, 1, 0
186 frame_dig 0                                                     1, 2, 1, 0, 2
